SourceSystem,FinanceTableOrder,FinanceSchemaName,FinanceTableName,ActionKey,ActionStepKey,FieldKey,FieldName,PHC_Enabled,Enabled,PrimaryKey,FieldType,FieldLength,FieldPrecision,FieldScale,DsnFieldName,Nullable,Default,FormatConvert,CompKey
BHG_DR,2,pats,tbl_pbi3PayAuth,1,12,19,tpUNITS,1,1,NULL,int,4,10,0,tpUNITS,1,NULL,NULL,1-12-019
BHG_DR,2,pats,tbl_pbi3PayAuth,1,12,20,tpSERVAPPROVED,1,1,NULL,varchar,100,0,0,tpSERVAPPROVED,1,NULL,NULL,1-12-020
BHG_DR,2,pats,tbl_pbi3PayAuth,1,12,21,tpNOTE,1,1,NULL,varchar,-1,0,0,tpNOTE,1,NULL,NULL,1-12-021
BHG_DR,2,pats,tbl_pbi3PayAuth,1,12,22,tpTYPE,1,1,NULL,varchar,50,0,0,tpTYPE,1,NULL,NULL,1-12-022
BHG_DR,2,pats,tbl_pbi3PayAuth,1,12,23,tpaCompKey,0,0,NULL,varchar,50,0,0,tpaCompKey,1,NULL,NULL,1-12-023
BHG_DR,2,pats,tbl_pbi3PayAuth,1,12,24,tpaBigKey,0,0,NULL,varchar,50,0,0,tpaBigKey,1,NULL,NULL,1-12-024
BHG_DR,2,pats,tbl_pbi3PayAuth,1,12,25,ProgGroup,0,0,NULL,varchar,50,0,0,ProgGroup,1,NULL,NULL,1-12-025
BHG_DR,2,pats,tbl_pbi3PayAuth,1,12,26,PayerGroup,0,0,NULL,varchar,50,0,0,PayerGroup,1,NULL,NULL,1-12-026
BHG_DR,2,pats,tbl_pbi3PayAuth,1,12,27,PayerType,0,0,NULL,varchar,50,0,0,PayerType,1,NULL,NULL,1-12-027
BHG_DR,2,pats,tbl_pbi3PayAuth,1,12,28,LastModAt,0,0,NULL,datetime,8,23,3,LastModAt,1,NULL,NULL,1-12-028
BHG_DR,2,pats,tbl_pbi3PayAuth,1,12,29,RowChkSum,0,0,NULL,int,4,10,0,RowChkSum,1,NULL,NULL,1-12-029
BHG_DR,2,pats,tbl_pbi3PayAuth,1,12,30,RowState,0,0,NULL,bit,1,1,0,RowState,1,NULL,NULL,1-12-030
BHG_DR,3,pats,tbl_vw3pBillSub,1,27,1,@SiteCode,1,1,1,varchar,25,0,0,SiteCode,0,NULL,NULL,1-27-001
BHG_DR,3,pats,tbl_vw3pBillSub,1,27,2,descript,1,1,NULL,varchar,17,0,0,descript,0,NULL,NULL,1-27-002
BHG_DR,3,pats,tbl_vw3pBillSub,1,27,3,billdatecriteria,1,1,NULL,datetime,8,23,3,billdatecriteria,1,NULL,NULL,1-27-003
BHG_DR,3,pats,tbl_vw3pBillSub,1,27,4,payDEFAULTSUBMIT,1,1,NULL,varchar,50,0,0,payDEFAULTSUBMIT,1,NULL,NULL,1-27-004
BHG_DR,3,pats,tbl_vw3pBillSub,1,27,5,ScrubError,1,1,NULL,varchar,14,0,0,ScrubError,0,NULL,NULL,1-27-005
BHG_DR,3,pats,tbl_vw3pBillSub,1,27,6,dsID,1,1,2,int,4,10,0,dsID,0,NULL,NULL,1-27-006
BHG_DR,3,pats,tbl_vw3pBillSub,1,27,7,dsClt,1,1,NULL,int,4,10,0,dsClt,1,NULL,NULL,1-27-007
BHG_DR,3,pats,tbl_vw3pBillSub,1,27,8,dsTxtSrv,1,1,NULL,nvarchar,200,0,0,dsTxtSrv,1,NULL,NULL,1-27-008
BHG_DR,3,pats,tbl_vw3pBillSub,1,27,9,dsDtStart,1,1,NULL,datetime,8,23,3,dsDtStart,1,NULL,NULL,1-27-009
BHG_DR,3,pats,tbl_vw3pBillSub,1,27,10,dsDtEnd,1,1,NULL,datetime,8,23,3,dsDtEnd,1,NULL,NULL,1-27-010
BHG_DR,3,pats,tbl_vw3pBillSub,1,27,11,dsTxtType,1,1,NULL,nvarchar,100,0,0,dsTxtType,1,NULL,NULL,1-27-011
BHG_DR,3,pats,tbl_vw3pBillSub,1,27,12,dsdblUnits,1,1,NULL,float,8,53,0,dsdblUnits,1,NULL,NULL,1-27-012
BHG_DR,3,pats,tbl_vw3pBillSub,1,27,13,billUnits,1,1,NULL,float,8,53,0,billUnits,1,NULL,NULL,1-27-013
BHG_DR,3,pats,tbl_vw3pBillSub,1,27,14,dstxtStaff,1,1,NULL,nvarchar,200,0,0,dstxtStaff,1,NULL,NULL,1-27-014
BHG_DR,3,pats,tbl_vw3pBillSub,1,27,15,npi,1,1,NULL,varchar,50,0,0,npi,1,NULL,NULL,1-27-015
BHG_DR,3,pats,tbl_vw3pBillSub,1,27,16,DSbilled,1,1,NULL,datetime,8,23,3,DSbilled,1,NULL,NULL,1-27-016
BHG_DR,3,pats,tbl_vw3pBillSub,1,27,17,pyPAYERID,1,1,NULL,varchar,75,0,0,pyPAYERID,1,NULL,NULL,1-27-017
BHG_DR,3,pats,tbl_vw3pBillSub,1,27,18,pySUBSID,1,1,NULL,varchar,50,0,0,pySUBSID,1,NULL,NULL,1-27-018
BHG_DR,3,pats,tbl_vw3pBillSub,1,27,19,pyGROUP,1,1,NULL,varchar,50,0,0,pyGROUP,1,NULL,NULL,1-27-019
BHG_DR,3,pats,tbl_vw3pBillSub,1,27,20,CPTCODE,1,1,NULL,varchar,50,0,0,CPTCODE,1,NULL,NULL,1-27-020
BHG_DR,3,pats,tbl_vw3pBillSub,1,27,21,charge,1,1,NULL,float,8,53,0,charge,1,NULL,NULL,1-27-021
BHG_DR,3,pats,tbl_vw3pBillSub,1,27,22,tpaAuthCode,1,1,NULL,varchar,100,0,0,tpaAuthCode,0,NULL,NULL,1-27-022
BHG_DR,3,pats,tbl_vw3pBillSub,1,27,23,clientname,1,1,NULL,varchar,152,0,0,clientname,1,NULL,NULL,1-27-023
BHG_DR,3,pats,tbl_vw3pBillSub,1,27,24,cltDOB,1,1,NULL,datetime,8,23,3,cltDOB,1,NULL,NULL,1-27-024
BHG_DR,3,pats,tbl_vw3pBillSub,1,27,25,cltGender,1,1,NULL,varchar,50,0,0,cltGender,1,NULL,NULL,1-27-025
BHG_DR,3,pats,tbl_vw3pBillSub,1,27,26,cltADD1,1,1,NULL,varchar,50,0,0,cltADD1,1,NULL,NULL,1-27-026
BHG_DR,3,pats,tbl_vw3pBillSub,1,27,27,cltCity,1,1,NULL,varchar,50,0,0,cltCity,1,NULL,NULL,1-27-027
BHG_DR,3,pats,tbl_vw3pBillSub,1,27,28,cltState,1,1,NULL,varchar,50,0,0,cltState,1,NULL,NULL,1-27-028
BHG_DR,3,pats,tbl_vw3pBillSub,1,27,29,cltzip,1,1,NULL,varchar,50,0,0,cltzip,1,NULL,NULL,1-27-029
BHG_DR,3,pats,tbl_vw3pBillSub,1,27,30,cltPhone,1,1,NULL,varchar,50,0,0,cltPhone,1,NULL,NULL,1-27-030
BHG_DR,3,pats,tbl_vw3pBillSub,1,27,31,cltMARRY,1,1,NULL,varchar,50,0,0,cltMARRY,1,NULL,NULL,1-27-031
BHG_DR,3,pats,tbl_vw3pBillSub,1,27,32,cltM4ID,1,1,NULL,varchar,50,0,0,cltM4ID,1,NULL,NULL,1-27-032
BHG_DR,3,pats,tbl_vw3pBillSub,1,27,33,dsdiag,1,1,NULL,varchar,5,0,0,dsdiag,0,NULL,NULL,1-27-033
BHG_DR,3,pats,tbl_vw3pBillSub,1,27,34,Modifier,1,1,NULL,varchar,50,0,0,Modifier,1,NULL,NULL,1-27-034
BHG_DR,3,pats,tbl_vw3pBillSub,1,27,35,dsPOS,1,1,NULL,varchar,50,0,0,dsPOS,1,NULL,NULL,1-27-035
BHG_DR,3,pats,tbl_vw3pBillSub,1,27,36,NDC,1,1,NULL,varchar,50,0,0,NDC,1,NULL,NULL,1-27-036
BHG_DR,3,pats,tbl_vw3pBillSub,1,27,37,MG,1,1,NULL,float,8,53,0,MG,1,NULL,NULL,1-27-037
BHG_DR,3,pats,tbl_vw3pBillSub,1,27,38,SiteID,1,1,NULL,int,4,10,0,SiteID,1,NULL,NULL,1-27-038
BHG_DR,3,pats,tbl_vw3pBillSub,1,27,39,dsarea,1,1,NULL,varchar,100,0,0,dsarea,1,NULL,NULL,1-27-039
BHG_DR,3,pats,tbl_vw3pBillSub,1,27,40,payclass,1,1,NULL,varchar,50,0,0,payclass,1,NULL,NULL,1-27-040
BHG_DR,4,pats,tbl_Fmp,1,33,1,@SiteCode,0,1,1,varchar,25,0,0,SiteCode,0,NULL,NULL,1-33-001
BHG_DR,4,pats,tbl_Fmp,1,33,2,fmpID,0,1,2,int,4,10,0,fmpID,0,NULL,NULL,1-33-002
BHG_DR,4,pats,tbl_Fmp,1,33,3,fmpLngClt,0,1,NULL,int,4,10,0,fmpLngClt,1,NULL,NULL,1-33-003
BHG_DR,4,pats,tbl_Fmp,1,33,4,fmpDtStart,0,1,NULL,datetime,8,23,3,fmpDtStart,1,NULL,NULL,1-33-004
BHG_DR,4,pats,tbl_Fmp,1,33,5,fmpDtProjEnd,0,1,NULL,datetime,8,23,3,fmpDtProjEnd,1,NULL,NULL,1-33-005
BHG_DR,4,pats,tbl_Fmp,1,33,6,fmpDtEnd,0,1,NULL,datetime,8,23,3,fmpDtEnd,1,NULL,NULL,1-33-006
BHG_DR,4,pats,tbl_Fmp,1,33,7,fmpIntRate,0,1,NULL,int,4,10,0,fmpIntRate,1,NULL,NULL,1-33-007
BHG_DR,4,pats,tbl_Fmp,1,33,8,fmpStrReason,0,1,NULL,varchar,100,0,0,fmpStrReason,1,NULL,NULL,1-33-008
BHG_DR,4,pats,tbl_Fmp,1,33,9,fmpStrDesc,0,1,NULL,varchar,250,0,0,fmpStrDesc,1,NULL,NULL,1-33-009
BHG_DR,4,pats,tbl_Fmp,1,33,10,fmpDtAdded,0,1,NULL,datetime,8,23,3,fmpDtAdded,1,NULL,NULL,1-33-010
BHG_DR,4,pats,tbl_Fmp,1,33,11,fmpStrUserAdded,0,1,NULL,varchar,100,0,0,fmpStrUserAdded,1,NULL,NULL,1-33-011
BHG_DR,4,pats,tbl_Fmp,1,33,12,fmpDtEnded,0,1,NULL,datetime,8,23,3,fmpDtEnded,1,NULL,NULL,1-33-012
BHG_DR,4,pats,tbl_Fmp,1,33,13,fmpStrUserEnded,0,1,NULL,varchar,100,0,0,fmpStrUserEnded,1,NULL,NULL,1-33-013
BHG_DR,4,pats,tbl_Fmp,1,33,14,fmPENDTEXT,0,1,NULL,varchar,100,0,0,fmPENDTEXT,1,NULL,NULL,1-33-014
BHG_DR,4,pats,tbl_Fmp,1,33,15,atriskTYPE,0,1,NULL,varchar,100,0,0,atriskTYPE,1,NULL,NULL,1-33-015
BHG_DR,4,pats,tbl_Fmp,1,33,16,RowState,0,0,NULL,bit,1,1,0,RowState,1,NULL,NULL,1-33-016
BHG_DR,4,pats,tbl_Fmp,1,33,17,LastModAt,0,0,NULL,datetime,8,23,3,LastModAt,1,NULL,NULL,1-33-017
BHG_DR,5,pats,tbl_PayerCltHistory,1,29,1,@SiteCode,0,1,1,varchar,25,0,0,SiteCode,0,NULL,NULL,1-29-001
BHG_DR,5,pats,tbl_PayerCltHistory,1,29,2,pchID,0,1,2,int,4,10,0,pchID,0,NULL,NULL,1-29-002
BHG_DR,5,pats,tbl_PayerCltHistory,1,29,3,pyID,0,1,NULL,int,4,10,0,pyID,1,NULL,NULL,1-29-003
BHG_DR,5,pats,tbl_PayerCltHistory,1,29,4,pyChange,0,1,NULL,varchar,100,0,0,pyChange,1,NULL,NULL,1-29-004
BHG_DR,5,pats,tbl_PayerCltHistory,1,29,5,pyDtm,0,1,NULL,datetime,8,23,3,pyDtm,1,NULL,NULL,1-29-005
BHG_DR,5,pats,tbl_PayerCltHistory,1,29,6,pyUser,0,1,NULL,varchar,100,0,0,pyUser,1,NULL,NULL,1-29-006
BHG_DR,5,pats,tbl_PayerCltHistory,1,29,7,pyNote,0,1,NULL,varchar,8000,0,0,pyNote,1,NULL,NULL,1-29-007
BHG_DR,6,pats,tbl_FinancialHardshipApplication,1,64,1,@SiteCode,0,1,1,varchar,25,0,0,SiteCode,0,NULL,NULL,1-64-001
BHG_DR,6,pats,tbl_FinancialHardshipApplication,1,64,5,Id,0,1,2,int,4,10,0,Id,0,NULL,NULL,1-64-005
BHG_DR,6,pats,tbl_FinancialHardshipApplication,1,64,6,DataFormId,0,1,NULL,int,4,10,0,DataFormId,1,NULL,NULL,1-64-006
BHG_DR,6,pats,tbl_FinancialHardshipApplication,1,64,7,PreAdmissionId,0,1,NULL,int,4,10,0,PreAdmissionId,1,NULL,NULL,1-64-007
BHG_DR,6,pats,tbl_FinancialHardshipApplication,1,64,8,cltId,0,1,NULL,int,4,10,0,cltId,1,NULL,NULL,1-64-008
BHG_DR,6,pats,tbl_FinancialHardshipApplication,1,64,9,CreatedOn,0,1,NULL,datetime,8,23,3,CreatedOn,1,NULL,NULL,1-64-009
BHG_DR,6,pats,tbl_FinancialHardshipApplication,1,64,10,CreatedBy,0,1,NULL,nvarchar,100,0,0,CreatedBy,1,NULL,NULL,1-64-010
BHG_DR,6,pats,tbl_FinancialHardshipApplication,1,64,11,ModifiedOn,0,1,NULL,datetime,8,23,3,ModifiedOn,1,NULL,NULL,1-64-011
BHG_DR,6,pats,tbl_FinancialHardshipApplication,1,64,12,ModifiedBy,0,1,NULL,nvarchar,100,0,0,ModifiedBy,1,NULL,NULL,1-64-012
BHG_DR,6,pats,tbl_FinancialHardshipApplication,1,64,13,IsDeleted,0,1,NULL,bit,1,1,0,IsDeleted,1,NULL,NULL,1-64-013
BHG_DR,6,pats,tbl_FinancialHardshipApplication,1,64,14,IsIdentification,0,1,NULL,bit,1,1,0,IsIdentification,1,NULL,NULL,1-64-014
BHG_DR,6,pats,tbl_FinancialHardshipApplication,1,64,15,IsIncome,0,1,NULL,bit,1,1,0,IsIncome,1,NULL,NULL,1-64-015
BHG_DR,6,pats,tbl_FinancialHardshipApplication,1,64,16,txtIncomeIdentification,0,1,NULL,nvarchar,-1,0,0,txtIncomeIdentification,1,NULL,NULL,1-64-016
BHG_DR,6,pats,tbl_FinancialHardshipApplication,1,64,17,FHAPatientSignature,0,1,NULL,nvarchar,-1,0,0,FHAPatientSignature,1,NULL,NULL,1-64-017
BHG_DR,6,pats,tbl_FinancialHardshipApplication,1,64,18,FHAPatientSignatureDate,0,1,NULL,datetime,8,23,3,FHAPatientSignatureDate,1,NULL,NULL,1-64-018
BHG_DR,6,pats,tbl_FinancialHardshipApplication,1,64,19,FHAPatientSignatureBy,0,1,NULL,nvarchar,100,0,0,FHAPatientSignatureBy,1,NULL,NULL,1-64-019
BHG_DR,6,pats,tbl_FinancialHardshipApplication,1,64,20,txtAnnualHouseholdIncome,0,1,NULL,nvarchar,100,0,0,txtAnnualHouseholdIncome,1,NULL,NULL,1-64-020
BHG_DR,6,pats,tbl_FinancialHardshipApplication,1,64,21,EmergencyName,0,1,NULL,nvarchar,100,0,0,EmergencyName,1,NULL,NULL,1-64-021
BHG_DR,6,pats,tbl_FinancialHardshipApplication,1,64,22,EmergencyRelation,0,1,NULL,nvarchar,100,0,0,EmergencyRelation,1,NULL,NULL,1-64-022
BHG_DR,6,pats,tbl_FinancialHardshipApplication,1,64,23,EmergencyPhone,0,1,NULL,nvarchar,100,0,0,EmergencyPhone,1,NULL,NULL,1-64-023
BHG_DR,6,pats,tbl_FinancialHardshipApplication,1,64,24,txtAUIGross1,0,1,NULL,float,8,53,0,txtAUIGross1,1,NULL,NULL,1-64-024
BHG_DR,6,pats,tbl_FinancialHardshipApplication,1,64,25,txtAUIGross2,0,1,NULL,float,8,53,0,txtAUIGross2,1,NULL,NULL,1-64-025
BHG_DR,6,pats,tbl_FinancialHardshipApplication,1,64,26,txtAUIGross3,0,1,NULL,float,8,53,0,txtAUIGross3,1,NULL,NULL,1-64-026
BHG_DR,6,pats,tbl_FinancialHardshipApplication,1,64,27,txtAUISocial1,0,1,NULL,float,8,53,0,txtAUISocial1,1,NULL,NULL,1-64-027
BHG_DR,6,pats,tbl_FinancialHardshipApplication,1,64,28,txtAUISocial2,0,1,NULL,float,8,53,0,txtAUISocial2,1,NULL,NULL,1-64-028
BHG_DR,6,pats,tbl_FinancialHardshipApplication,1,64,29,txtAUISocial3,0,1,NULL,float,8,53,0,txtAUISocial3,1,NULL,NULL,1-64-029
BHG_DR,6,pats,tbl_FinancialHardshipApplication,1,64,30,txtAUIAlimony1,0,1,NULL,float,8,53,0,txtAUIAlimony1,1,NULL,NULL,1-64-030
BHG_DR,6,pats,tbl_FinancialHardshipApplication,1,64,31,txtAUIAlimony2,0,1,NULL,float,8,53,0,txtAUIAlimony2,1,NULL,NULL,1-64-031
BHG_DR,6,pats,tbl_FinancialHardshipApplication,1,64,32,txtAUIAlimony3,0,1,NULL,float,8,53,0,txtAUIAlimony3,1,NULL,NULL,1-64-032
BHG_DR,6,pats,tbl_FinancialHardshipApplication,1,64,33,txtAUISelf1,0,1,NULL,float,8,53,0,txtAUISelf1,1,NULL,NULL,1-64-033
BHG_DR,6,pats,tbl_FinancialHardshipApplication,1,64,34,txtAUISelf2,0,1,NULL,float,8,53,0,txtAUISelf2,1,NULL,NULL,1-64-034
BHG_DR,6,pats,tbl_FinancialHardshipApplication,1,64,35,txtAUISelf3,0,1,NULL,float,8,53,0,txtAUISelf3,1,NULL,NULL,1-64-035
BHG_DR,6,pats,tbl_FinancialHardshipApplication,1,64,36,txtAUIRent1,0,1,NULL,float,8,53,0,txtAUIRent1,1,NULL,NULL,1-64-036
BHG_DR,6,pats,tbl_FinancialHardshipApplication,1,64,37,txtAUIRent2,0,1,NULL,float,8,53,0,txtAUIRent2,1,NULL,NULL,1-64-037
BHG_DR,6,pats,tbl_FinancialHardshipApplication,1,64,38,txtAUIRent3,0,1,NULL,float,8,53,0,txtAUIRent3,1,NULL,NULL,1-64-038
BHG_DR,6,pats,tbl_FinancialHardshipApplication,1,64,39,Version,0,1,NULL,nvarchar,50,0,0,Version,1,NULL,NULL,1-64-039
BHG_DR,6,pats,tbl_FinancialHardshipApplication,1,64,40,IscurrentlyUninsured,0,1,NULL,bit,1,1,0,IscurrentlyUninsured,1,NULL,NULL,1-64-040
BHG_DR,6,pats,tbl_FinancialHardshipApplication,1,64,41,StatusofApplication,0,1,NULL,nvarchar,-1,0,0,StatusofApplication,1,NULL,NULL,1-64-041
BHG_DR,6,pats,tbl_FinancialHardshipApplication,1,64,42,Facts,0,1,NULL,nvarchar,-1,0,0,Facts,1,NULL,NULL,1-64-042
BHG_DR,6,pats,tbl_FinancialHardshipApplication,1,64,43,PayClassApproved,0,1,NULL,nvarchar,-1,0,0,PayClassApproved,1,NULL,NULL,1-64-043
BHG_DR,6,pats,tbl_FinancialHardshipApplication,1,64,44,ApprovedBy,0,1,NULL,nvarchar,-1,0,0,ApprovedBy,1,NULL,NULL,1-64-044
BHG_DR,6,pats,tbl_FinancialHardshipApplication,1,64,45,EffectiveDate,0,1,NULL,datetime,8,23,3,EffectiveDate,1,NULL,NULL,1-64-045
BHG_DR,6,pats,tbl_FinancialHardshipApplication,1,64,46,ExpirationDate,0,1,NULL,datetime,8,23,3,ExpirationDate,1,NULL,NULL,1-64-046
BHG_DR,7,pats,tbl_3pElig,1,16,1,@SiteCode,1,1,1,varchar,25,0,0,SiteCode,0,NULL,NULL,1-16-001
BHG_DR,7,pats,tbl_3pElig,1,16,2,RowChkSum,0,0,NULL,int,4,10,0,RowChkSum,0,NULL,NULL,1-16-002
BHG_DR,7,pats,tbl_3pElig,1,16,3,RowState,0,0,NULL,bit,1,1,0,RowState,0,NULL,NULL,1-16-003
BHG_DR,7,pats,tbl_3pElig,1,16,4,LastModAt,0,0,NULL,datetime,8,23,3,LastModAt,0,NULL,NULL,1-16-004
BHG_DR,7,pats,tbl_3pElig,1,16,5,eID,1,1,2,int,4,10,0,eID,0,NULL,NULL,1-16-005
BHG_DR,7,pats,tbl_3pElig,1,16,6,eCLT,1,1,NULL,int,4,10,0,eCLT,1,NULL,NULL,1-16-006
BHG_DR,7,pats,tbl_3pElig,1,16,7,ePAYER,1,1,NULL,varchar,100,0,0,ePAYER,1,NULL,NULL,1-16-007
BHG_DR,7,pats,tbl_3pElig,1,16,8,eDATE,1,1,NULL,date,3,10,0,eDATE,1,NULL,NULL,1-16-008
