Fabric

SiteCode	tpcnTPCID
AHK	143012587
AHK	143012588
AHK	143012589
AHK	143012590
AHK	143012591
AHK	143012592
AHK	143012593
AHK	143012594
AHK	143012595
AHK	143012596
AHK	143012597
AHK	143012598
AHK	143012599
AHK	143012600
AHK	143012601
AHK	143012602
AHK	143012603
AHK	143012604
AHK	143012605
AHK	143012606
AHK	143012607
AHK	143012608
AHK	143012609
AHK	143012610
AHK	143012611
AHK	143012612
AHK	143012613
AHK	143012614
AHK	143012615
AHK	143012616
AHK	143012617
AHK	143012618
AHK	143012619
AHK	143012620
AHK	143012621
AHK	143012622
AHK	143012623
AHK	143012624
AHK	143012625
AHK	143012626
AHK	143012627
AHK	143012628
AHK	143012629
AHK	143012630
AHK	143012631
AHK	143012632
AHK	143012633
AHK	143012634
AHK	143012635
AHK	143012636
AHK	143012637
AHK	143012638
AHK	143012639
AHK	143012640
AHK	143012641
AHK	143012642
AHK	143012643
AHK	143012644
AHK	143012645
AHK	143012646
AHK	143012647
AHK	143012648
AHK	143012649
AHK	143012650
AHK	143012651
AHK	143012652
AHK	143012653
AHK	143012654
AHK	143012655
AHK	143012656
AHK	143012657
AHK	143012658
AHK	143012659
AHK	143012660
AHK	143012661
AHK	143012662
AHK	143012663
AHK	143012664
AHK	143012665
AHK	143012666
AHK	143012667
AHK	143012668
AHK	143012669
AHK	143012670
AHK	143012671
AHK	143012672
AHK	143012673
AHK	143012674
AHK	143012675
AHK	143012676
AHK	143012677
AHK	143012678
AHK	143012679
AHK	143012680
AHK	143012681
AHK	143012682
AHK	143012683
AHK	143012684
AHK	143012685
AHK	143012686
AHK	143012687
AHK	143012688
AHK	143012689
AHK	143012690
AHK	143012691
AHK	143012692
AHK	143012693
AHK	143012694
AHK	143012695
AHK	143012696
AHK	143012697
AHK	143012698
AHK	143012699
AHK	143012700
AHK	143012701
AHK	143012702
AHK	143012703
AHK	143012704
AHK	143012705
AHK	143012706
AHK	143012707
AHK	143012708
AHK	143012709
AHK	143012710
AHK	143012711
AHK	143012712
AHK	143012713
AHK	143012714
AHK	143012715
AHK	143012716
AHK	143012717
AHK	143012718
AHK	143012719
AHK	143012720
AHK	143012721
AHK	143012722
AHK	143012723
AHK	143012724
AHK	143012725
AHK	143012726
AHK	143012727
AHK	143012728
AHK	143012729
AHK	143012730
AHK	143012731
AHK	143012732
AHK	143012733
AHK	143012734
AHK	143012735
AHK	143012736
AHK	143012737
AHK	143012738
AHK	143012739
AHK	143012740
AHK	143012741
AHK	143012742
AHK	143012743
AHK	143012744
AHK	143012745
AHK	143012746
AHK	143012747
AHK	143012748
AHK	143012749
AHK	143012750
AHK	143012751
AHK	143012752
AHK	143012753
AHK	143012754
AHK	143012755
AHK	143012756
AHK	143012757
AHK	143012758
AHK	143012759
AHK	143012760
AHK	143012761
AHK	143012762
AHK	143012763
AHK	143012764
AHK	143012765
AHK	143012766
AHK	143012767
AHK	143012768
AHK	143012769
AHK	143012770
AHK	143012771
AHK	143012772
AHK	143012773
AHK	143012774
AHK	143012775
AHK	143012776
AHK	143012777
AHK	143012778
AHK	143012779
AHK	143012780
AHK	143012781
AHK	143012782
AHK	143012783
AHK	143012784
AHK	143012785
AHK	143012786
AHK	143012787
AHK	143012788
AHK	143012789
AHK	143012790
AHK	143012791
AHK	143012792
AHK	143012793
AHK	143012794
AHK	143012795
AHK	143012796
AHK	143012797
AHK	143012798
AHK	143012799
AHK	143012800
AHK	143012801
AHK	143012802
AHK	143012803
AHK	143012804
