SchemaName,TableName,ColumnName,OrdinalPosition,DataType,MaxLength,NumericPrecision,NumericScale,IsNullable,ColumnDefault
pats,tbl_ClaimLineItem,tpcliIntMg,30,int,NULL,10,0,YES,NULL
pats,tbl_ClaimLineItem,tpcliDBnotes,31,varchar,1000,NULL,NULL,YES,NULL
pats,tbl_ClaimLineItemActivity,SiteCode,1,varchar,25,NULL,NULL,NO,NULL
pats,tbl_ClaimLineItemActivity,liaID,2,int,NULL,10,0,NO,NULL
pats,tbl_ClaimLineItemActivity,RowChkSum,3,int,NULL,10,0,NO,NULL
pats,tbl_ClaimLineItemActivity,LastModAt,4,datetime,NULL,NULL,NULL,NO,NULL
pats,tbl_ClaimLineItemActivity,RowState,5,bit,NULL,NULL,NULL,YES,NULL
pats,tbl_ClaimLineItemActivity,liaTPCLIID,6,int,NULL,10,0,YES,NULL
pats,tbl_ClaimLineItemActivity,liaDtm,7,datetime,NULL,NULL,NULL,YES,NULL
pats,tbl_ClaimLineItemActivity,liaStrUser,8,varchar,100,NULL,NULL,YES,NULL
pats,tbl_ClaimLineItemActivity,laiPAIDINS,9,money,NULL,19,4,YES,NULL
pats,tbl_ClaimLineItemActivity,laiContADJ,10,money,NULL,19,4,YES,NULL
pats,tbl_ClaimLineItemActivity,laiGENADJ,11,money,NULL,19,4,YES,NULL
pats,tbl_ClaimLineItemActivity,laiCOPay,12,money,NULL,19,4,YES,NULL
pats,tbl_ClaimLineItemActivity,laiDEDUC,13,money,NULL,19,4,YES,NULL
pats,tbl_ClaimLineItemActivity,laiCLIENT,14,money,NULL,19,4,YES,NULL
pats,tbl_ClaimLineItemActivity,liaBitNoteOnly,15,bit,NULL,NULL,NULL,YES,NULL
pats,tbl_ClaimLineItemActivity,liaStrDesc,16,varchar,1000,NULL,NULL,YES,NULL
pats,tbl_ClaimLineItemActivity,tprbID,17,int,NULL,10,0,NO,NULL
pats,tbl_ClaimLineItemActivity,liaPending,18,bit,NULL,NULL,NULL,YES,NULL
pats,tbl_ClaimLineItemActivity,liaamt,19,money,NULL,19,4,YES,NULL
pats,tbl_ClaimLineItemActivity,liastrtext,20,varchar,50,NULL,NULL,YES,NULL
pats,tbl_ClaimLineItemActivity,liaADJREASON,21,varchar,100,NULL,NULL,YES,NULL
pats,tbl_ClaimLineItemActivity,laiCOINS,22,money,NULL,19,4,YES,NULL
pats,tbl_ClaimLineItemActivity,liaAction1,23,varchar,500,NULL,NULL,YES,NULL
pats,tbl_ClaimLineItemActivity,liaAction2,24,varchar,500,NULL,NULL,YES,NULL
pats,tbl_ClaimLineItemActivity,liaADJcontract,25,varchar,100,NULL,NULL,YES,NULL
pats,tbl_ClaimLineItemActivity,liaADJgeneral,26,varchar,100,NULL,NULL,YES,NULL
pats,tbl_ClaimLineItemActivity,liaANSI1,27,varchar,50,NULL,NULL,YES,NULL
pats,tbl_ClaimLineItemActivity,liaANSI2,28,varchar,50,NULL,NULL,YES,NULL
pats,tbl_ClaimLineItemActivity,liaANSImod1,29,varchar,50,NULL,NULL,YES,NULL
pats,tbl_ClaimLineItemActivity,liaANSImod2,30,varchar,50,NULL,NULL,YES,NULL
pats,tbl_ClaimLineItemActivity,BillID,31,int,NULL,10,0,YES,NULL
pats,tbl_ClaimLineItemActivity,liaDBnotes,32,varchar,1000,NULL,NULL,YES,NULL
pats,tbl_Claims,SiteCode,1,varchar,25,NULL,NULL,NO,NULL
pats,tbl_Claims,tpcID,2,int,NULL,10,0,NO,NULL
pats,tbl_Claims,RowChkSum,3,int,NULL,10,0,NO,NULL
pats,tbl_Claims,LastModAt,4,datetime,NULL,NULL,NULL,NO,NULL
pats,tbl_Claims,RowState,5,bit,NULL,NULL,NULL,YES,NULL
pats,tbl_Claims,tpccltID,6,int,NULL,10,0,YES,NULL
pats,tbl_Claims,tpcStrStatus,7,varchar,100,NULL,NULL,YES,NULL
pats,tbl_Claims,tpcStrPayer,8,varchar,100,NULL,NULL,YES,NULL
pats,tbl_Claims,tpcDtmAdded,9,datetime,NULL,NULL,NULL,YES,NULL
pats,tbl_Claims,tpcStrAdded,10,varchar,100,NULL,NULL,YES,NULL
pats,tbl_Claims,f10oth,11,varchar,50,NULL,NULL,YES,NULL
pats,tbl_Claims,tpcClaimBatchID,12,int,NULL,10,0,YES,NULL
pats,tbl_Claims,f11insnumber,13,varchar,50,NULL,NULL,YES,NULL
pats,tbl_Claims,f11insplan,14,varchar,50,NULL,NULL,YES,NULL
pats,tbl_Claims,f11inssex,15,varchar,50,NULL,NULL,YES,NULL
pats,tbl_Claims,f12sig,16,varchar,50,NULL,NULL,YES,NULL
pats,tbl_Claims,f12sigdate,17,varchar,50,NULL,NULL,YES,NULL
pats,tbl_Claims,f13inssig,18,varchar,50,NULL,NULL,YES,NULL
pats,tbl_Claims,f14date,19,varchar,50,NULL,NULL,YES,NULL
