SchemaName,TableName,ColumnName,OrdinalPosition,DataType,MaxLength,NumericPrecision,NumericScale,IsNullable,ColumnDefault
ayx,tbl_PreAdmission_V6,SiteCode,1,varchar,25,NULL,NULL,NO,NULL
ayx,tbl_PreAdmission_V6,PreAdmissionid,2,int,NULL,10,0,NO,NULL
ayx,tbl_PreAdmission_V6,Clientid,3,int,NULL,10,0,NO,NULL
ayx,tbl_PreAdmission_V6,CreatedON,4,datetime,NULL,NULL,NULL,YES,NULL
ayx,tbl_PreAdmission_V6,Createdby,5,nvarchar,40,NULL,NULL,YES,NULL
ayx,tbl_PreAdmission_V6,PreAdmissionDate,6,datetime,NULL,NULL,NULL,YES,NULL
ayx,tbl_PreAdmission_V6,RegistrationMode,7,varchar,30,NULL,NULL,YES,NULL
ayx,tbl_PreAdmission_V6,ReferralSourcedesc,8,varchar,800,NULL,NULL,YES,NULL
ayx,tbl_PreAdmission_V6,PrimaryReferralSourceNote,9,nvarchar,2500,NULL,NULL,YES,NULL
ayx,tbl_PreAdmission_V6,Program,10,nvarchar,40,NULL,NULL,YES,NULL
ayx,tbl_PreAdmission_V6,InsuranceType,11,nvarchar,256,NULL,NULL,YES,NULL
ayx,tbl_PreAdmission_V6,IntakeProgram,12,nvarchar,300,NULL,NULL,YES,NULL
ayx,tbl_PreAdmission_V6,IntakeProgramDate,13,datetime,NULL,NULL,NULL,YES,NULL
ayx,tbl_PreAdmission_V6,IsCurrentlyInOpiateProgram,14,varchar,30,NULL,NULL,YES,NULL
ayx,tbl_PreAdmission_V6,IsPatientAtPainManagementClinic,15,varchar,30,NULL,NULL,YES,NULL
ayx,tbl_PreAdmission_V6,IsHavingLegalPrescription,16,varchar,30,NULL,NULL,YES,NULL
ayx,tbl_PreAdmission_V6,IsAnyLegalPrescriptionForPain,17,varchar,30,NULL,NULL,YES,NULL
ayx,tbl_PreAdmission_V6,IsAnyOngoingMedicalCondition,18,varchar,30,NULL,NULL,YES,NULL
ayx,tbl_PreAdmission_V6,IsSuicidalThoughtWithin72Hours,19,varchar,30,NULL,NULL,YES,NULL
ayx,tbl_PreAdmission_V6,IsHavingPlanForHowToCommitSuicide,20,varchar,30,NULL,NULL,YES,NULL
ayx,tbl_PreAdmission_V6,IsHomicidalThoughtWithin72Hours,21,varchar,30,NULL,NULL,YES,NULL
ayx,tbl_PreAdmission_V6,IsRecentlyReleasedFromPenal,22,varchar,30,NULL,NULL,YES,NULL
ayx,tbl_PreAdmission_V6,IsSpecialAccommodationRequired,23,varchar,30,NULL,NULL,YES,NULL
ayx,tbl_PreAdmission_V6,ReasonSeekingTreatment,24,nvarchar,2000,NULL,NULL,YES,NULL
ayx,tbl_PreAdmission_V6,AccomodationNeeded,25,nvarchar,256,NULL,NULL,YES,NULL
ayx,tbl_PreAdmission_V6,ClientAddress,26,varchar,2500,NULL,NULL,YES,NULL
ayx,tbl_PreAdmission_V6,Comments,27,nvarchar,500,NULL,NULL,YES,NULL
ayx,tbl_PreAdmission_V6,IsPatientAdmitted,28,varchar,30,NULL,NULL,YES,NULL
ayx,tbl_PreAdmission_V6,AreYouCurrentlyPregnant,29,varchar,30,NULL,NULL,YES,NULL
ayx,tbl_PreAdmission_V6,BringIDProof,30,varchar,30,NULL,NULL,YES,NULL
ayx,tbl_PreAdmission_V6,BringInsuranceCard,31,varchar,30,NULL,NULL,YES,NULL
ayx,tbl_PreAdmission_V6,ClinicInfo,32,varchar,30,NULL,NULL,YES,NULL
ayx,tbl_PreAdmission_V6,CurrntlyRecevingTreatmentForCondition,33,varchar,30,NULL,NULL,YES,NULL
ayx,tbl_PreAdmission_V6,IsAnyPrescriptionForPain,34,varchar,30,NULL,NULL,YES,NULL
ayx,tbl_PreAdmission_V6,IsInsurance,35,varchar,30,NULL,NULL,YES,NULL
ayx,tbl_PreAdmission_V6,isOverTheCounterMedications,36,varchar,30,NULL,NULL,YES,NULL
ayx,tbl_PreAdmission_V6,ImmediateAssessment,37,nvarchar,256,NULL,NULL,YES,NULL
ayx,tbl_PreAdmission_V6,ImmediateAssessment911,38,nvarchar,256,NULL,NULL,YES,NULL
ayx,tbl_PreAdmission_V6,MedicalConditionsProviderName1,39,nvarchar,256,NULL,NULL,YES,NULL
ayx,tbl_PreAdmission_V6,MedicalConditionsProviderPhone1,40,nvarchar,50,NULL,NULL,YES,NULL
ayx,tbl_PreAdmission_V6,MedicalConditionsProviderName2,41,nvarchar,256,NULL,NULL,YES,NULL
ayx,tbl_PreAdmission_V6,MedicalConditionsProviderPhone2,42,nvarchar,50,NULL,NULL,YES,NULL
ayx,tbl_PreAdmission_V6,PlanOfSuicide,43,varchar,30,NULL,NULL,YES,NULL
ayx,tbl_PreAdmission_V6,PlanOnSpendingTimeAtClinic,44,varchar,30,NULL,NULL,YES,NULL
ayx,tbl_PreAdmission_V6,SAMMSProgram,45,varchar,800,NULL,NULL,YES,NULL
ayx,tbl_PreAdmission_V6,OfficeUseWhy,46,nvarchar,50,NULL,NULL,YES,NULL
ayx,tbl_PreAdmission_V6,OngoingMedicalConditionsWha,47,nvarchar,256,NULL,NULL,YES,NULL
ayx,tbl_PreAdmission_V6,PreAdd_Address,48,nvarchar,500,NULL,NULL,YES,NULL
ayx,tbl_PreAdmission_V6,LastUpdatedBy,49,nvarchar,40,NULL,NULL,YES,NULL
ayx,tbl_PreAdmission_V6,LastUpdateOn,50,datetime,NULL,NULL,NULL,YES,NULL
ayx,tbl_PreAdmission_V6,PatientSignatureDate,51,datetime,NULL,NULL,NULL,YES,NULL
ayx,tbl_PreAdmission_V6,DateofRelease,52,datetime,NULL,NULL,NULL,YES,NULL
ayx,tbl_PreAdmission_V6,Version,53,nvarchar,256,NULL,NULL,YES,NULL
ayx,tbl_PreAdmission_V6,RowChkSum,54,int,NULL,10,0,NO,NULL
ayx,tbl_PreAdmission_V6,ETLLastModAt,55,datetime,NULL,NULL,NULL,NO,NULL
ayx,tbl_PreAdmission_V6,RowState,56,bit,NULL,NULL,NULL,YES,NULL
ayx,tbl_PreAdmission_V6,cltM4ID,57,varchar,50,NULL,NULL,YES,NULL
ctrl,tbl_3PSETUP,SiteCode,1,varchar,25,NULL,NULL,NO,NULL
ctrl,tbl_3PSETUP,pID,2,int,NULL,10,0,NO,NULL
ctrl,tbl_3PSETUP,Clinic,3,varchar,200,NULL,NULL,YES,NULL
ctrl,tbl_3PSETUP,Address,4,varchar,200,NULL,NULL,YES,NULL
ctrl,tbl_3PSETUP,State,5,varchar,50,NULL,NULL,YES,NULL
ctrl,tbl_3PSETUP,Zip,6,varchar,50,NULL,NULL,YES,NULL
ctrl,tbl_3PSETUP,NPI,7,varchar,50,NULL,NULL,YES,NULL
ctrl,tbl_3PSETUP,TaxID,8,varchar,50,NULL,NULL,YES,NULL
ctrl,tbl_3PSETUP,Medicaid,9,varchar,50,NULL,NULL,YES,NULL
ctrl,tbl_3PSETUP,City,10,varchar,50,NULL,NULL,YES,NULL
ctrl,tbl_3PSETUP,DRlname,11,varchar,50,NULL,NULL,YES,NULL
ctrl,tbl_3PSETUP,DRfname,12,varchar,50,NULL,NULL,YES,NULL
ctrl,tbl_3PSETUP,DRnpi,13,varchar,50,NULL,NULL,YES,NULL
ctrl,tbl_3PSETUP,ProviderAddress,14,varchar,50,NULL,NULL,YES,NULL
ctrl,tbl_3PSETUP,ProviderCity,15,varchar,50,NULL,NULL,YES,NULL
ctrl,tbl_3PSETUP,ProviderName,16,varchar,50,NULL,NULL,YES,NULL
ctrl,tbl_3PSETUP,ProviderPhone,17,varchar,50,NULL,NULL,YES,NULL
ctrl,tbl_3PSETUP,ProviderState,18,varchar,50,NULL,NULL,YES,NULL
ctrl,tbl_3PSETUP,ProviderZip,19,varchar,50,NULL,NULL,YES,NULL
ctrl,tbl_3PSETUP,SiteID,20,int,NULL,10,0,YES,NULL
ctrl,tbl_3PSETUP,Clia,21,varchar,20,NULL,NULL,YES,NULL
ctrl,tbl_3PSETUP,strDBNotes,22,varchar,250,NULL,NULL,YES,NULL
ctrl,tbl_3PSETUP,ProviderDesc,23,varchar,100,NULL,NULL,YES,NULL
ctrl,tbl_3PSETUP,blHasPreloader,24,bit,NULL,NULL,NULL,YES,NULL
ctrl,tbl_3PSETUP,IndividualNPI,25,bit,NULL,NULL,NULL,YES,NULL
ctrl,tbl_3PSETUP,Taxonomy,26,varchar,100,NULL,NULL,YES,NULL
ctrl,tbl_3PSETUP,SFTPUN,27,nvarchar,256,NULL,NULL,YES,NULL
ctrl,tbl_3PSETUP,SFTPPW,28,nvarchar,256,NULL,NULL,YES,NULL
ctrl,tbl_3PSETUP,RowChkSum,29,int,NULL,10,0,YES,NULL
ctrl,tbl_3PSETUP,LastModAt,30,datetime,NULL,NULL,NULL,YES,NULL
ctrl,tbl_Clinic,SiteCode,1,varchar,25,NULL,NULL,NO,NULL
ctrl,tbl_Clinic,PKEY,2,int,NULL,10,0,NO,NULL
ctrl,tbl_Clinic,DoseWarn,3,nvarchar,50,NULL,NULL,YES,NULL
ctrl,tbl_Clinic,DoseStop,4,nvarchar,50,NULL,NULL,YES,NULL
ctrl,tbl_Clinic,Photos,5,nvarchar,150,NULL,NULL,YES,NULL
ctrl,tbl_Clinic,Bottles,6,bit,NULL,NULL,NULL,YES,NULL
ctrl,tbl_Clinic,Overdue,7,int,NULL,10,0,YES,NULL
ctrl,tbl_Clinic,BillHold,8,int,NULL,10,0,YES,NULL
ctrl,tbl_Clinic,Test,9,int,NULL,10,0,YES,NULL
ctrl,tbl_Clinic,TBTest,10,bit,NULL,NULL,NULL,YES,NULL
ctrl,tbl_Clinic,Force,11,bit,NULL,NULL,NULL,YES,NULL
ctrl,tbl_Clinic,LastUpdated,12,datetime,NULL,NULL,NULL,YES,NULL
ctrl,tbl_Clinic,Note,13,ntext,1073741823,NULL,NULL,YES,NULL
ctrl,tbl_Clinic,Provider,14,nvarchar,50,NULL,NULL,YES,NULL
ctrl,tbl_Clinic,Site,15,nvarchar,50,NULL,NULL,YES,NULL
ctrl,tbl_Clinic,CLINICCODE,16,nvarchar,50,NULL,NULL,YES,NULL
ctrl,tbl_Clinic,DischargeGuest,17,bit,NULL,NULL,NULL,YES,NULL
ctrl,tbl_Clinic,NumInventory,18,int,NULL,10,0,YES,NULL
