SourceSystem	SchemaName	TableName	ColumnName	OrdinalPosition	DataType	MaxLength	NumericPrecision	NumericScale	IsNullable
BHG_DR	pats	tbl_ComprehensiveAssessmentForm	IsLGBT	55	bit	NULL	NULL	NULL	YES
BHG_DR	pats	tbl_ComprehensiveAssessmentForm	IsCourtOrderedChildSupportPayments	56	bit	NULL	NULL	NULL	YES
BHG_DR	pats	tbl_ComprehensiveAssessmentForm	IsArmedForces	57	bit	NULL	NULL	NULL	YES
BHG_DR	pats	tbl_ComprehensiveAssessmentForm	IsTrainingActivities	58	bit	NULL	NULL	NULL	YES
BHG_DR	pats	tbl_ComprehensiveAssessmentForm	IsEmploymentSituation	59	bit	NULL	NULL	NULL	YES
BHG_DR	pats	tbl_ComprehensiveAssessmentForm	IsHighSchoolDiplomaGED	60	bit	NULL	NULL	NULL	YES
BHG_DR	pats	tbl_ComprehensiveAssessmentForm	IsReadWriteEffectively	61	bit	NULL	NULL	NULL	YES
BHG_DR	pats	tbl_ComprehensiveAssessmentForm	IsMainstreamClasses	62	bit	NULL	NULL	NULL	YES
BHG_DR	pats	tbl_ComprehensiveAssessmentForm	IsHeldBackSchool	63	bit	NULL	NULL	NULL	YES
BHG_DR	pats	tbl_ComprehensiveAssessmentForm	IsHaveAnyChildren	64	bit	NULL	NULL	NULL	YES
BHG_DR	pats	tbl_ComprehensiveAssessmentForm	IsChildSupportPayments	65	bit	NULL	NULL	NULL	YES
BHG_DR	pats	tbl_ComprehensiveAssessmentForm	IsCareOfFamilyMembers	66	bit	NULL	NULL	NULL	YES
BHG_DR	pats	tbl_ComprehensiveAssessmentForm	IsAbuseNeglectGrowingUp	67	bit	NULL	NULL	NULL	YES
BHG_DR	pats	tbl_ComprehensiveAssessmentForm	IsUnderstandEnglish	68	bit	NULL	NULL	NULL	YES
BHG_DR	pats	tbl_ComprehensiveAssessmentForm	IsCountToSupportYou	69	bit	NULL	NULL	NULL	YES
BHG_DR	pats	tbl_ComprehensiveAssessmentForm	IsCloseRelationship	70	bit	NULL	NULL	NULL	YES
BHG_DR	pats	tbl_ComprehensiveAssessmentForm	IsDeployOverseas	71	bit	NULL	NULL	NULL	YES
BHG_DR	pats	tbl_ComprehensiveAssessmentForm	CheckMother	72	bit	NULL	NULL	NULL	YES
BHG_DR	pats	tbl_ComprehensiveAssessmentForm	CheckFather	73	bit	NULL	NULL	NULL	YES
BHG_DR	pats	tbl_ComprehensiveAssessmentForm	CheckSibling	74	bit	NULL	NULL	NULL	YES
BHG_DR	pats	tbl_ComprehensiveAssessmentForm	CheckMaternalGrandmother	75	bit	NULL	NULL	NULL	YES
