28,1,1,1,Initial Services Plan and Vulnerable Adult Determination,InitialServicesPlanandVAD,NULL,NULL,NULL,NULL,NULL,NULL,NULL,StaffSignatureDate,NULL,20,CreatedOn,ModifiedOn
29,1,1,1,State Fact Form,StateFactForm,CompletedBySignatureDate,NULL,NULL,NULL,NULL,NULL,NULL,CompletedBySignatureDate,NULL,19,CreatedOn,ModifiedOn
30,1,1,1,MN - Mental Health Informed Consent,MentalHealthInformedConsent,NULL,NULL,NULL,NULL,PatientSignatureDate,NULL,NULL,StaffSignatureDate,NULL,18,CreatedOn,ModifiedOn
31,1,1,1,Insurance Benefit Verification,InsuranceBenefitVerification,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,17,CreatedOn,ModifiedOn
32,1,1,1,Patient Information sheet,PatientInformationsheet,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,16,CreatedOn,ModifiedOn
33,1,1,1,Adverse Childhood Experiences,AdverseChildhood,NULL,StaffSignatureDate,NULL,NULL,NULL,NULL,NULL,StaffSignatureDate,NULL,15,CreatedDate,ModifiedDate
35,1,1,1,MN - Consent to Central Registry,GeneralConsentAuthforReleaseInfo,NULL,NULL,NULL,NULL,PatientSignatureDate,NULL,NULL,StaffSignatureDate,NULL,14,CreatedOn,ModifiedOn
36,1,1,1,CO - Consent Central Registry Colorado,ConsentCentralRegistryColorado,NULL,NULL,NULL,NULL,PatientSignatureDate,NULL,NULL,StaffSignatureDate,NULL,13,CreatedOn,ModifiedOn
37,1,1,1,KS Patient Rights and Responsibilities,KSPatientRightsResponsibilities,NULL,NULL,NULL,NULL,PatientSignatureDate,NULL,NULL,StaffSignatureDate,NULL,12,CreatedOn,ModifiedOn
38,1,1,1,BHG Notice Of Privacy Practices,tblBHGNoticeOfPrivacyPractices,NULL,NULL,NULL,NULL,PatientSignatureDate,NULL,NULL,NULL,NULL,10,CreatedOn,ModifiedOn
39,1,1,1,Suicide Severity Rating Scale,SuicideSeverityRatingScale,NULL,NULL,NULL,NULL,NULL,NULL,NULL,StaffSignatureDate,SupervisorSignatureDate,1,CreatedOn,ModifiedOn
40,1,1,1,Suicide Severity Rating Scale 2.0,SAFETProtocolwithCSSRS,NULL,NULL,NULL,NULL,NULL,NULL,NULL,StaffSignatureDate,SupervisorSignatureDate,11,CreatedOn,ModifiedOn
41,1,1,1,Health Questionnaire,HealthQuestionnaire,NULL,NULL,DoctorSignatureDate,NurseSignatureDate,NULL,NULL,NULL,NULL,NULL,2,Createddate,Modifieddate
42,1,1,1,Infectious Disease And Behavioral Screen,InfectiousDiseaseAndBehavioralScreen,NULL,NULL,NULL,MedicalStaffSignatureDate,NULL,NULL,NULL,NULL,NULL,3,CreatedOn,ModifiedOn
43,1,1,1,Consent to Treatment with an Approved Narcotic,ConsentToTreatmentWithAnApprovedNarcotic,NULL,NULL,DoctorSignatureDate,NULL,PatientSignatureDate,NULL,NULL,StaffSignatureDate,NULL,4,CreatedOn,ModifiedOn
44,1,1,1,Financial Hardship Application,FinancialHardshipApplication,NULL,NULL,NULL,NULL,FHAPatientSignatureDate,NULL,NULL,NULL,NULL,5,CreatedOn,ModifiedOn
45,1,1,1,Comprehensive Assessment Form,ComprehensiveAssessmentForm,NULL,NULL,NULL,NULL,CAPatientSignatureDate,NULL,NULL,CAStaffSignatureDate,NULL,6,CreatedOn,ModifiedOn
46,1,1,1,Admission Assessment,AdmissionAssessment,NULL,NULL,NULL,NULL,AdmissionAssessmentPatientSignatureDate,NULL,NULL,AdmissionAssessmentStaffSignatureDate,AdmissionAssessmentSupervisorSignatureDate,7,CreatedOn,ModifiedOn
47,1,1,1,Treatment Plan,tblTP17REVIEW,NULL,NULL,NULL,NULL,tprCLIRNTSIGDate,tprDRSIGDate,NULL,tprCOUNSSIGDate,tprSUPERSIGDate,8,tprDT,NULL
48,1,1,1,Level Justification,tblORDERREQ,NULL,NULL,NULL,NULL,NULL,DrSigDt,NULL,NULL,NULL,9,DateAdded,statusDate
49,1,1,1,Consent for Release of Confidential Info V0,ConsentforReleaseConInfoRevised,NULL,NULL,NULL,NULL,PatientSignatureDate,NULL,NULL,StaffSignatureDate,NULL,48,CreatedOn,ModifiedOn
50,0,1,1,Consent For Release Of Confidential Information For Emergency Contact,SF_ConsentForEmergencyContact,NULL,NULL,NULL,NULL,PatientSignatureDate,NULL,NULL,BHGTeamMemberSignatureDate,NULL,49,CreatedOn,LastUpdateOn
51,0,1,1,Discharge Summary,DischargeSummary,NULL,NULL,NULL,NULL,NULL,NULL,NULL,StaffSignatureDate,SupervisorSignatureDate,50,CreatedOn,UpdatedOn
52,0,1,1,Discharge Transfer Plan Form,DischargeTransferPlanForm,NULL,NULL,MedicalProviderSignatureDate,NULL,NULL,NULL,NULL,StaffSignatureDate,SupervisorSignatureDate,51,CreatedOn,ModifiedOn
53,1,1,1,Guest Dosing/Permanent Transfer,GuestDosingPermanentTransfer,NULL,CounselorSignatureDate,NULL,MedicalStaffSignatureDate,PatientSignatureDate,ProviderSignatureDate,NULL,NULL,NULL,52,CreatedOn,ModifiedOn
54,0,1,1,History And Physical Short Form,RNP_AdmissionPhysicalHistory,NULL,NULL,PhysicianDate,MDSignatureDate,PatientSignatureDate,NULL,NULL,NULL,NULL,53,Created,Modified
55,0,1,1,Individual Counseling,DAPAssessment,NULL,NULL,NULL,NULL,NULL,NULL,NULL,DAPStaffSignatureDate,NULL,54,CreatedDate,ModifiedDate
56,0,1,1,MAT Orientation Checklist,RNP_OrientationChecklist,NULL,NULL,NULL,NULL,ClientSignatureDate,NULL,NULL,StaffSignatureDate,NULL,56,Created,Modified
57,0,1,1,OTP Universal Guest Dosing Form,OpioidTretamentProgram,NULL,CounselorSignatureDate,PhysicianSignatureDate,NULL,PatientSignatureDate,NULL,NULL,NurseSignatureDate,NULL,57,CreatedOn,ModifiedOn
