ConfigId	ConfigName	PipelineName	PipelinePath	TransformationModule	SourceSystem	SourceType	TargetName	EnvironmentName	PipelineDependency	ExecutionSequence	TriggerType	TriggerFrequency	TriggeredBy	IsActive	ConnectionConfig	CreatedAt	CreatedBy	ModifiedAt	ModifiedBy
18	SAMMS Orders Bronze	pl_SaveOrders	/pipelines/pl_SaveOrders	NULL	SAMMS	DATA BASE	BR	DEV	NULL	1	SCHEDULE	DAILY	Fabric	1	{"TargetTable":"bhg_bronze.order.brz_Orders"}	2026-06-08 22:13:42.505611	Joel	2026-08-03 10:34:19.311986	Joel
20	SAMMS Orders Gold	pl_SaveOrders	/pipelines/pl_SaveOrders	Versioned Gold Publish	Silver	DATA BASE	GL	DEV	nb_SaveOrders_brz_to_sl	3	SCHEDULE	DAILY	Fabric	1	{"SourceTable":"bhg_silver.pats.slv_Orders","TargetTable":"bhg_gold.pats.Orders","LoadType":"Versioned Gold Load","Rollback":"Enabled"}	2026-06-08 22:14:43.944467	Joel	2026-08-03 10:34:19.311986	Joel
19	SAMMS Orders Silver	pl_SaveOrders	/pipelines/pl_SaveOrders	NULL	Bronze	DATA BASE	SL	DEV	nb_SaveOrders_src_to_brz	2	SCHEDULE	DAILY	Fabric	1	{"SourceTable":"bhg_bronze.order.brz_Orders","TargetTable":"bhg_silver.pats.slv_Orders","LoadType":"Incremental"}	2026-06-08 22:14:08.636166	Joel	2026-08-03 10:34:19.311986	Joel





taskconfig


TaskConfigId	ConfigId	TaskName	Endpoint	Method	SourceTable	PaginationEnabled	PaginationParam	LoadType	IsIncremental	WatermarkColumn	LookbackDays	TargetSchema	TargetTable	TargetPath	ExecutionOrder	RetryCount	TimeoutSeconds	RequestBody	DependencyTaskConfigId	IsActive	CreatedAt	CreatedBy	ModifiedAt	ModifiedBy	AuthType	SiteCode	DataBaseName	SiteName
51013	18	Orders Bronze - B35	NULL	NULL	dbo.tblOrder	0	NULL	FULL	0	NULL	NULL	order	brz_Orders	/lakehouse/bhg_bronze/Tables/order/brz_Orders	1	3	7200	NULL	NULL	1	2026-06-08 22:25:41.022136	Joel	2026-08-03 10:22:40.130023	Joel	NULL	B35	SAMMS-LexingtonV5	Lexington
51014	18	Orders Bronze - B35A	NULL	NULL	dbo.tblOrder	0	NULL	FULL	0	NULL	NULL	order	brz_Orders	/lakehouse/bhg_bronze/Tables/order/brz_Orders	1	3	7200	NULL	NULL	1	2026-06-08 22:25:41.022136	Joel	2026-08-03 10:22:40.130023	Joel	NULL	B35A	SAMMS-BereaV5	Berea
51015	18	Orders Bronze - B36	NULL	NULL	dbo.tblOrder	0	NULL	FULL	0	NULL	NULL	order	brz_Orders	/lakehouse/bhg_bronze/Tables/order/brz_Orders	1	3	7200	NULL	NULL	1	2026-06-08 22:25:41.022136	Joel	2026-08-03 10:22:40.130023	Joel	NULL	B36	SAMMS-AshevilleV5	Asheville
51016	18	Orders Bronze - B37	NULL	NULL	dbo.tblOrder	0	NULL	FULL	0	NULL	NULL	order	brz_Orders	/lakehouse/bhg_bronze/Tables/order/brz_Orders	1	3	7200	NULL	NULL	1	2026-06-08 22:25:41.022136	Joel	2026-08-03 10:22:40.130023	Joel	NULL	B37	SAMMS-ClydeV5	Clyde
51017	18	Orders Bronze - B38	NULL	NULL	dbo.tblOrder	0	NULL	FULL	0	NULL	NULL	order	brz_Orders	/lakehouse/bhg_bronze/Tables/order/brz_Orders	1	3	7200	NULL	NULL	1	2026-06-08 22:25:41.022136	Joel	2026-08-03 10:22:40.130023	Joel	NULL	B38	SAMMS-SpartanburgV5	Spartanburg
51018	18	Orders Bronze - B39	NULL	NULL	dbo.tblOrder	0	NULL	FULL	0	NULL	NULL	order	brz_Orders	/lakehouse/bhg_bronze/Tables/order/brz_Orders	1	3	7200	NULL	NULL	1	2026-06-08 22:25:41.022136	Joel	2026-08-03 10:22:40.130023	Joel	NULL	B39	SAMMS-AikenV5	Aiken
51019	18	Orders Bronze - B41	NULL	NULL	dbo.tblOrder	0	NULL	FULL	0	NULL	NULL	order	brz_Orders	/lakehouse/bhg_bronze/Tables/order/brz_Orders	1	3	7200	NULL	NULL	1	2026-06-08 22:25:41.022136	Joel	2026-08-03 10:22:40.130023	Joel	NULL	B41	SAMMS-ChesapeakeV5	Chesapeake
51020	18	Orders Bronze - B42	NULL	NULL	dbo.tblOrder	0	NULL	FULL	0	NULL	NULL	order	brz_Orders	/lakehouse/bhg_bronze/Tables/order/brz_Orders	1	3	7200	NULL	NULL	1	2026-06-08 22:25:41.022136	Joel	2026-08-03 10:22:40.130023	Joel	NULL	B42	SAMMS-VirginiaBeachV5	VirginiaBeach
51021	18	Orders Bronze - B42A	NULL	NULL	dbo.tblOrder	0	NULL	FULL	0	NULL	NULL	order	brz_Orders	/lakehouse/bhg_bronze/Tables/order/brz_Orders	1	3	7200	NULL	NULL	1	2026-06-08 22:25:41.022136	Joel	2026-08-03 10:22:40.130023	Joel	NULL	B42A	SAMMS-NewportNewsV5	NewportNews
51022	18	Orders Bronze - B42B	NULL	NULL	dbo.tblOrder	0	NULL	FULL	0	NULL	NULL	order	brz_Orders	/lakehouse/bhg_bronze/Tables/order/brz_Orders	1	3	7200	NULL	NULL	1	2026-06-08 22:25:41.022136	Joel	2026-08-03 10:22:40.130023	Joel	NULL	B42B	SAMMS-FranklinV5	Franklin
51023	18	Orders Bronze - B42C	NULL	NULL	dbo.tblOrder	0	NULL	FULL	0	NULL	NULL	order	brz_Orders	/lakehouse/bhg_bronze/Tables/order/brz_Orders	1	3	7200	NULL	NULL	1	2026-06-08 22:25:41.022136	Joel	2026-08-03 10:22:40.130023	Joel	NULL	B42C	SAMMS-GlenAllenV5	GlenAllen
51024	18	Orders Bronze - B42D	NULL	NULL	dbo.tblOrder	0	NULL	FULL	0	NULL	NULL	order	brz_Orders	/lakehouse/bhg_bronze/Tables/order/brz_Orders	1	3	7200	NULL	NULL	1	2026-06-08 22:25:41.022136	Joel	2026-08-03 10:22:40.130023	Joel	NULL	B42D	SAMMS-ChesapeakeSouthV5	ChesapeakeSouth
51025	18	Orders Bronze - B44	NULL	NULL	dbo.tblOrder	0	NULL	FULL	0	NULL	NULL	order	brz_Orders	/lakehouse/bhg_bronze/Tables/order/brz_Orders	1	3	7200	NULL	NULL	1	2026-06-08 22:25:41.022136	Joel	2026-08-03 10:22:40.130023	Joel	NULL	B44	SAMMS-AlbanyV5	Albany
51026	18	Orders Bronze - B45	NULL	NULL	dbo.tblOrder	0	NULL	FULL	0	NULL	NULL	order	brz_Orders	/lakehouse/bhg_bronze/Tables/order/brz_Orders	1	3	7200	NULL	NULL	1	2026-06-08 22:25:41.022136	Joel	2026-08-03 10:22:40.130023	Joel	NULL	B45	SAMMS-TiftonV5	Tifton
51027	18	Orders Bronze - B46	NULL	NULL	dbo.tblOrder	0	NULL	FULL	0	NULL	NULL	order	brz_Orders	/lakehouse/bhg_bronze/Tables/order/brz_Orders	1	3	7200	NULL	NULL	1	2026-06-08 22:25:41.022136	Joel	2026-08-03 10:22:40.130023	Joel	NULL	B46	SAMMS-WashingtonDCv5	WashingtonDC
51028	18	Orders Bronze - B47	NULL	NULL	dbo.tblOrder	0	NULL	FULL	0	NULL	NULL	order	brz_Orders	/lakehouse/bhg_bronze/Tables/order/brz_Orders	1	3	7200	NULL	NULL	1	2026-06-08 22:25:41.022136	Joel	2026-08-03 10:22:40.130023	Joel	NULL	B47	SAMMS-MobileV5	Mobile
